Username,Text,Hashtags,Followers,Friends
bot_africana, #Katyayan #caaprotest #DelhiPoliceFakeCase #DelhiRiots #HumanRights #racism #Fascism #ModiLies #CowardModi #RSSTerrorists #…,"['Katyayan', 'caaprotest', 'DelhiPoliceFakeCase', 'DelhiRiots', 'HumanRights', 'racism', 'Fascism', 'ModiLies', 'CowardModi', 'RSSTerrorists']",1281,576
Lnr57,"RT @alexmjordan: You're right: #TrumpDoesntCare about your #trends, your #fakenews narratives, your baseless slander &amp; 24/7 lies. And neith…","['TrumpDoesntCare', 'trends', 'fakenews']",42555,45317
BadNewsLandon,"RT @UWVirology: This week's #SARSCoV2 #COVIDー19 #HCoV19 PCR testing tallies @UWVirology:
9/8: 2307 tests, 2.5% positive
9/9: 7333 tests, 2.…","['SARSCoV2', 'COVIDー19', 'HCoV19']",456,4985
Samir__Ag,All analysis sud happn excluding Maharashtra which is a complete mess due to sonia sena/pappu govt,,1740,771
Jaspony1, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",334,90
CharlotteCrou," Holy crap these cowards are unhinged. #BLM ATTACKED us, screaming “RACIST” in our faces, shoving our women &amp; children. 

I W…",['BLM'],387,634
mollyhogen," Holy crap these cowards are unhinged. #BLM ATTACKED us, screaming “RACIST” in our faces, shoving our women &amp; children. 

I W…",['BLM'],248,399
7JesusSanchez,"RT @estrell95172174: Laredo, Texas Trump Train Rally.   #savethechildren https://t.co/eY6kYloYT0",['savethechildren'],442,256
Donald_Trump_Q,"""Our airports are like from a third world country."" -Donald Trump #POTUS #DonaldTrump #Trump #TrumpProtest","['POTUS', 'DonaldTrump', 'Trump', 'TrumpProtest']",135,8
vgaspar07,RT @KaeUnruly: This isn't just a trend. #BLM https://t.co/fbmMC3PMRZ,['BLM'],28,268
DeaRiley,2 Police Officers were sabotaged tonight -shot at point blank range while sitting in their squad car. #Democrats… https://t.co/L632b6fL4X,['Democrats'],3422,5003
KimPKAG2020," After Shutting Down His Campaign For the Day, Joe #Biden Lashes Out at President #Trump For Holding #Rallies in #Nevada T…","['Biden', 'Trump', 'Rallies', 'Nevada']",58788,28190
BluePandoraBlog,"RT @BenjaminMillar: Australian police: Stop ""importing"" #BlackLivesMatter from the US to Australia, we have no such issues.

Also:",['BlackLivesMatter'],102,46
KiraLiljegren, Hey @TravelGov - please will you pass on comments to the appropriate people that hundreds of us are desperate to be reunit…,,135,78
JediAdiGallia," It’s why @JoeBiden is beating @realDonaldTrump in the national and swing state polls. It’s why #Trump’s lost women, suburba…",['Trump'],2116,2046
h_i_m_a_n_i_,"Is Covid testing at government centres in Delhi free of cost? 
#COVID #DelhiFightsCorona","['COVID', 'DelhiFightsCorona']",105,87
UtahSaint,@realDonaldTrump Running for election to line your pockets you criminal #trump  #Trump2020 #TrumpRally #TrumpGenocide,"['trump', 'Trump2020', 'TrumpRally', 'TrumpGenocide']",1185,188
